ID,Skills,Projects,Education,Experience,Job_Role,Required_Skills
1,"HTML, JavaScript, Node.js, Manufacturing, SIEM, Electronics, Docker, Surgery","Healthcare App, AI Chatbot",S1,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
2,"APIs, Machine Learning, CSS, Visualization, PyTorch, Python, Network Security, CAD","Resume Analyzer, IoT Smart Home",D3,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
3,"React, Medical Knowledge, APIs, Python, Manufacturing, Git, Embedded Systems, RTOS","Stock Prediction Model, Cybersecurity Monitoring Tool",S2,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
4,"NumPy, Excel, Data Analysis, CSS, Python, Java, SolidWorks, Pandas","Portfolio Website, E-commerce Website",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
5,"Kubernetes, Excel, Linux, Pharmacology, Manufacturing, C, Docker, RTOS","Stock Prediction Model, Portfolio Website",S1,3-5 years,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
6,"Excel, JavaScript, Linux, CSS, Node.js, C, Docker, RTOS","Stock Prediction Model, AI Chatbot",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
7,"Thermodynamics, Deep Learning, Design, Python, CAD, Embedded Systems, Ethical Hacking, SIEM","Resume Analyzer, Fraud Detection System",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
8,"TensorFlow, Microcontrollers, Machine Learning, Deep Learning, Node.js, SQL, HTML","Resume Analyzer, E-commerce Website",D3,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
9,"React, Excel, Deep Learning, JavaScript, Visualization, Node.js, Surgery","IoT Smart Home, Cloud Deployment Project",D3,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
10,"React, Medical Knowledge, CSS, Node.js, Java, CAD, HTML, SolidWorks","IoT Smart Home, Cloud Deployment Project",D3,1-2 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
13,"NumPy, Linux, Visualization, Node.js, SQL, Java, Git, HTML","IoT Smart Home, Healthcare App",S1,3-5 years,Backend Developer,"Python, Java, SQL, APIs, Git"
15,"TensorFlow, Medical Knowledge, Deep Learning, PyTorch, Docker, RTOS","Fraud Detection System, Resume Analyzer",S2,5+ years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
17,"Cryptography, JavaScript, CSS, Node.js, Network Security, Git, SIEM","Portfolio Website, E-commerce Website",S2,Fresher,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
18,"NumPy, Machine Learning, JavaScript, Linux, Data Analysis, Python, AWS, Docker","AI Chatbot, Fraud Detection System",S2,Fresher,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
20,"TensorFlow, NumPy, Linux, SQL, Network Security, Diagnosis, Ethical Hacking, SIEM","E-commerce Website, Cybersecurity Monitoring Tool",S1,1-2 years,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
22,"TensorFlow, Machine Learning, Deep Learning, PyTorch, CAD, Ethical Hacking, HTML, SIEM","E-commerce Website, AI Chatbot",S2,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
23,"TensorFlow, Kubernetes, Deep Learning, JavaScript, CSS, Node.js, HTML, SIEM","Fraud Detection System, Resume Analyzer",D3,3-5 years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
24,"Excel, Data Analysis, CSS, Communication, Manufacturing, Ethical Hacking, SIEM, Pandas","Cloud Deployment Project, Fraud Detection System",S1,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
25,"TensorFlow, Excel, Data Analysis, Communication, Pharmacology, Embedded Systems, HTML, Surgery","E-commerce Website, Healthcare App",D3,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
26,"NumPy, Data Analysis, Linux, Pharmacology, Git, HTML, SIEM, Pandas","AI Chatbot, E-commerce Website",S1,1-2 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
28,"React, HTML, JavaScript, Linux, CSS, Communication, Docker","Fraud Detection System, Stock Prediction Model",D3,5+ years,Web Developer,"HTML, CSS, JavaScript, React, Node.js"
29,"Patient Care, Excel, Deep Learning, Machine Learning, PyTorch, Manufacturing, Diagnosis, Electronics","IoT Smart Home, Portfolio Website",S2,Fresher,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
30,"TensorFlow, Kubernetes, Deep Learning, PyTorch, Python, CAD, RTOS","E-commerce Website, IoT Smart Home",S2,3-5 years,ML Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Machine Learning"
31,"Thermodynamics, TensorFlow, Kubernetes, NumPy, Visualization, Node.js, Python, Pandas","Portfolio Website, IoT Smart Home",S1,5+ years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
32,"NumPy, Microcontrollers, Node.js, Python, Network Security, Ethical Hacking, Surgery, Pandas","Stock Prediction Model, E-commerce Website",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
36,"APIs, Deep Learning, SQL, Communication, Diagnosis, C, Java, Docker","Healthcare App, Resume Analyzer",S2,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
37,"NumPy, Node.js, PyTorch, Python, Java, C, Git, Electronics","Resume Analyzer, Fraud Detection System",D3,5+ years,Backend Developer,"Python, Java, SQL, APIs, Git"
39,"Kubernetes, Deep Learning, Linux, Pharmacology, Git, Docker, RTOS","Stock Prediction Model, Cybersecurity Monitoring Tool",S2,Fresher,Cloud Engineer,"AWS, Docker, Kubernetes, Linux, CI/CD"
40,"React, APIs, Excel, Deep Learning, JavaScript, SQL, Git, Embedded Systems","Resume Analyzer, Healthcare App",S1,1-2 years,Backend Developer,"Python, Java, SQL, APIs, Git"
43,"Excel, Data Analysis, Node.js, PyTorch, SQL, CAD, C, SIEM","Stock Prediction Model, Portfolio Website",S2,3-5 years,Business Analyst,"Excel, SQL, Data Analysis, Communication, Visualization"
44,"APIs, Cryptography, JavaScript, Python, Network Security, Diagnosis, Ethical Hacking, HTML","Portfolio Website, E-commerce Website",D3,Fresher,Cybersecurity Analyst,"Network Security, Cryptography, Python, SIEM, Ethical Hacking"
45,"React, NumPy, APIs, Communication, Python, Docker, SIEM, Pandas","Portfolio Website, Resume Analyzer",S1,3-5 years,Data Scientist,"Python, Machine Learning, Pandas, NumPy, Data Analysis"
